gene 	 shG9a_E2-
NPEPPS 	 4915
PPP1R3D 	 3639
CLU 	 10671
GEMIN5 	 3468
EIF4BP7 	 999
SUPT16H 	 3558
UBQLN2 	 4277
RSL1D1 	 3503
EHD4 	 5243
CD2AP 	 5487
OTUD7B 	 3905
MGAT5 	 3739
KPNA6 	 4158
BCL2L11 	 3566
VAMP3 	 2126
PCDH10 	 7434
GATA3 	 3304
MEX3C 	 4700
CBX2 	 4818
NCAM2 	 2386
EIF2AK1 	 3613
SLC2A1 	 3861
SPINT2 	 4225
PPP1R10 	 0
NACC2 	 11531
TRAF7 	 3780
IRGQ 	 2931
PCNXL3 	 3944
CSRNP2 	 4684
FSTL3 	 10391
DCUN1D1 	 3513
SMARCC1 	 3424
F8A3 	 1602
HNRNPH1 	 2502
BTBD2 	 2248
C14orf1 	 4535
PODXL2 	 3730
COBRA1 	 4476
SEPW1 	 2681
F8A2 	 1489
ABCE1 	 3777
RAP2B 	 4306
RPL38 	 4211
ECH1 	 3309
NCOA5 	 3297
UTP3 	 3762
ALDH5A1 	 3994
BRWD1 	 4888
ZNF629 	 3820
SCYL2 	 4349
ZBTB33 	 3703
GLUL 	 3060
RPS23 	 3464
PGAM4 	 1609
RMND5A 	 3462
USP18 	 5199
RP11-234A1.1 	 5
DIP2B 	 6425
RP11-703G6.1 	 3552
RANBP2 	 5024
SAMHD1 	 4872
ACAP2 	 4785
API5 	 3672
MIPOL1 	 1896
RP11-632C17__A.1 	 856
USP12 	 4729
CABLES2 	 3098
WDR43 	 3659
INPP4B 	 2947
ITPKC 	 4251
PAFAH1B2 	 4817
POLR2E 	 3301
VCP 	 2449
ZC3HAV1 	 3261
SNRPA 	 2857
FAM53C 	 2714
PSMA6 	 4078
NGRN 	 4429
CIB1 	 3855
PYGO2 	 3239
FURIN 	 3305
INHBB 	 5418
CHP1 	 4119
ROCK2 	 4746
HERC1 	 3769
HOXC13 	 4047
KIAA0247 	 3813
UBE2M 	 3596
PPP1R26 	 5319
TRIB1 	 4399
URB1 	 4100
KRAS 	 4584
RP11-428L9.2 	 3320
PPP1R2 	 3072
RP11-475C16.1 	 2069
MLLT1 	 3666
NEBL 	 6470
SDC4 	 5855
EDEM1 	 4978
C12orf50 	 195
LURAP1L 	 4244
OAZ1 	 2709
EEF1A1P14 	 7
SLC30A1 	 3750
HNRNPD 	 3156
ATP6V1C1 	 4654
JUP 	 6592
AHCYL1 	 3819
TPM1 	 12627
SCD5 	 1447
UHRF1BP1 	 3232
